uri,constituency > label,election > label,electorate,majority,result of election,turnout
http://data.parliament.uk/resources/1223004,Aberdeen North,2019 General Election,62489,12670,SNP Hold,37413
http://data.parliament.uk/resources/1223005,Aberdeen South,2019 General Election,65719,3990,SNP Gain,45638
http://data.parliament.uk/resources/1223006,Airdrie and Shotts,2019 General Election,64011,5201,SNP Hold,39772
http://data.parliament.uk/resources/1223007,Angus,2019 General Election,63952,3795,SNP Gain,43170
http://data.parliament.uk/resources/1223008,Argyll and Bute,2019 General Election,66525,4110,SNP Hold,48050
http://data.parliament.uk/resources/1223009,"Ayr, Carrick and Cumnock",2019 General Election,71970,2329,SNP Gain,46592
http://data.parliament.uk/resources/1223010,Banff and Buchan,2019 General Election,66655,4118,Con Hold,42260
http://data.parliament.uk/resources/1223011,"Berwickshire, Roxburgh and Selkirk",2019 General Election,74518,5148,Con Hold,53146
http://data.parliament.uk/resources/1223012,"Caithness, Sutherland and Easter Ross",2019 General Election,46930,204,LD Hold,31457
http://data.parliament.uk/resources/1223013,Central Ayrshire,2019 General Election,69742,5304,SNP Hold,46534
http://data.parliament.uk/resources/1223014,"Coatbridge, Chryston and Bellshill",2019 General Election,72943,5624,SNP Gain,48221
http://data.parliament.uk/resources/1223015,"Cumbernauld, Kilsyth and Kirkintilloch East",2019 General Election,66079,12976,SNP Hold,45686
http://data.parliament.uk/resources/1223016,Dumfries and Galloway,2019 General Election,74580,1805,Con Hold,51429
http://data.parliament.uk/resources/1223017,"Dumfriesshire, Clydesdale and Tweeddale",2019 General Election,68330,3781,Con Hold,49153
http://data.parliament.uk/resources/1223018,Dundee East,2019 General Election,66210,13375,SNP Hold,45277
http://data.parliament.uk/resources/1223019,Dundee West,2019 General Election,64431,12259,SNP Hold,41579
http://data.parliament.uk/resources/1223020,Dunfermline and West Fife,2019 General Election,76652,10699,SNP Hold,53482
http://data.parliament.uk/resources/1223021,East Dunbartonshire,2019 General Election,66075,149,SNP Gain,53031
http://data.parliament.uk/resources/1223022,"East Kilbride, Strathaven and Lesmahagow",2019 General Election,81224,13322,SNP Hold,56337
http://data.parliament.uk/resources/1223023,East Lothian,2019 General Election,81600,3886,SNP Gain,58513
http://data.parliament.uk/resources/1223024,East Renfrewshire,2019 General Election,72232,5426,SNP Gain,55357
http://data.parliament.uk/resources/1223025,Edinburgh East,2019 General Election,69424,10417,SNP Hold,47815
http://data.parliament.uk/resources/1223026,Edinburgh North and Leith,2019 General Election,81336,12808,SNP Hold,59344
http://data.parliament.uk/resources/1223027,Edinburgh South,2019 General Election,66188,11095,Lab Hold,49732
http://data.parliament.uk/resources/1223028,Edinburgh South West,2019 General Election,73501,11982,SNP Hold,52131
http://data.parliament.uk/resources/1223029,Edinburgh West,2019 General Election,72507,3769,LD Hold,54533
http://data.parliament.uk/resources/1223030,Falkirk,2019 General Election,84472,14948,SNP Hold,55872
http://data.parliament.uk/resources/1223031,Glasgow Central,2019 General Election,69230,6474,SNP Hold,40105
http://data.parliament.uk/resources/1223032,Glasgow East,2019 General Election,67381,5566,SNP Hold,38483
http://data.parliament.uk/resources/1223033,Glasgow North,2019 General Election,57130,5601,SNP Hold,36191
http://data.parliament.uk/resources/1223034,Glasgow North East,2019 General Election,61075,2548,SNP Gain,33925
http://data.parliament.uk/resources/1223035,Glasgow North West,2019 General Election,63402,8359,SNP Hold,39735
http://data.parliament.uk/resources/1223036,Glasgow South,2019 General Election,70891,9005,SNP Hold,47443
http://data.parliament.uk/resources/1223037,Glasgow South West,2019 General Election,64575,4900,SNP Hold,36847
http://data.parliament.uk/resources/1223038,Glenrothes,2019 General Election,65672,11757,SNP Hold,41546
http://data.parliament.uk/resources/1223039,Gordon,2019 General Election,79629,819,SNP Gain,55916
http://data.parliament.uk/resources/1223040,Inverclyde,2019 General Election,60622,7512,SNP Hold,39903
http://data.parliament.uk/resources/1223041,"Inverness, Nairn, Badenoch and Strathspey",2019 General Election,78059,10440,SNP Hold,54810
http://data.parliament.uk/resources/1223042,Kilmarnock and Loudoun,2019 General Election,74517,12659,SNP Hold,47631
http://data.parliament.uk/resources/1223043,Kirkcaldy and Cowdenbeath,2019 General Election,72853,1243,SNP Gain,47005
http://data.parliament.uk/resources/1223044,Lanark and Hamilton East,2019 General Election,77659,5187,SNP Hold,53072
http://data.parliament.uk/resources/1223045,Linlithgow and East Falkirk,2019 General Election,87044,11266,SNP Hold,57775
http://data.parliament.uk/resources/1223046,Livingston,2019 General Election,82285,13435,SNP Hold,54592
http://data.parliament.uk/resources/1223047,Midlothian,2019 General Election,70544,5705,SNP Gain,48221
http://data.parliament.uk/resources/1223048,Moray,2019 General Election,71035,513,Con Hold,48825
http://data.parliament.uk/resources/1223049,Motherwell and Wishaw,2019 General Election,68856,6268,SNP Hold,44420
http://data.parliament.uk/resources/1223050,Na h-Eileanan an Iar,2019 General Election,21106,2438,SNP Hold,14477
http://data.parliament.uk/resources/1223051,North Ayrshire and Arran,2019 General Election,73534,8521,SNP Hold,48154
http://data.parliament.uk/resources/1223052,North East Fife,2019 General Election,60905,1316,LD Gain,45878
